TOPICS,Question,Option A,Option B,Option C,Option D,Correct Answer
C,1. Which of the following is the correct syntax for declaring a pointer in C?,int *p;,int p*;,int &p;,pointer int p;,A
C,2. What is the size (in bytes) of an int data type (assuming typical 32-bit system)?,2,4,8,Depends on compiler,B
C,"3. What will printf(""%d"", 5+2*3); output?",21,11,17,13,B
C,4. Which of the following is used for comments in C?,/* comment */,// comment,<!-- comment -->,# comment,A
C,5. Which header file is required for using the printf() function?,<stdio.h>,<conio.h>,<stdlib.h>,<math.h>,A
C,6. Which operator is used to access the value at the address stored in a pointer?,&,*,->,.,B
C,"7. What will be the output of: printf(""%d"", sizeof(char));",1,2,4,8,A
C,8. Which of the following is not a valid variable name in C?,var1,_value,2value,value_2,C
C,9. Which keyword is used to declare a constant in C?,const,constant,final,#define,A
C,10. How do you declare an array of 10 integers?,int arr;,int arr(10);,array arr;,int arr[];,A
C,11. Which of the following functions is used to read a string from user input?,scanf(),gets(),fgets(),getchar(),B
C,12. Which of the following is a loop structure in C?,for,loop,repeat,foreach,A
C,13. What is the result of 5 / 2 (integer division) in C?,2.5,2,3,Error,B
C,14. Which function is used to find the length of a string?,strlen(),size(),length(),strlength(),A
C,15. Which operator is used to increment a variable by 1?,++,--,+=,==,A
C,16. How do you define a macro in C?,#define,macro,def,#macro,A
C,17. How do you allocate memory for an integer array of 5 elements using malloc()?,malloc(5*sizeof(int)),malloc(5),"malloc(int,5)",malloc(sizeof(int)),A
C,18. Which of the following is not a storage class in C?,auto,register,static,dynamic,D
C,19. Which keyword is used to exit a loop?,exit,quit,break,return,C
C,20. How will you declare a function that returns an integer and takes two integers as arguments?,"int func(int, int);","void func(int, int);","func(int, int);","int func(void, void);",A
C,"21. What is the output of printf(""%c"",65);",A,B,65,Error,A
C,22. Which function is used to open a file in C?,fread(),fopen(),open(),file_open(),B
C,23. Which operator is used for logical AND in C?,&&,&,|,||,A
C,24. What does the expression (a == b) evaluate?,Assignment,Equality,Inequality,Bitwise AND,B
C,25. Which header file is needed for malloc()?,<stdlib.h>,<stdio.h>,<string.h>,<math.h>,A
C,"26. What will be the output of: printf(""%d"", 10%3);",1,2,3,0,B
C,27. Which format specifier is used for float values in printf()?,%d,%c,%f,%s,C
C,28. Which of the following is not a valid loop in C?,for,do-while,foreach,while,C
C,29. What is the correct method to comment a single line in C?,// comment,/* comment */,<!-- comment -->,# comment,A
C,30. Which escape sequence is used to print a new line in C?,\n,\b,\t,\r,A
C,31. Which data type is used to store a single character?,char,string,int,float,A
C,32. What does the function strcpy() do?,Copies one string to another,Compares two strings,Concatenates strings,Finds length of string,A
C,33. To include the contents of one file in another use:,#include,#import,require,include,A
C,34. Which function is used to dynamically allocate memory in C?,malloc(),alloc(),new(),getmem(),A
C,35. Which of the following is not a bitwise operator?,&,|,^,&&,D
C,"36. What will be the output of printf(""%d"", 3==4);",0,1,Error,3,A
C,37. Which statement is used to terminate a program in C?,exit(0);,stop;,end;,return;,A
C,38. What is the correct syntax to declare a function in C?,return_type function_name(parameters);,function_name return_type(parameters);,function_name(parameters) return_type;,function(parameters) return_type;,A
C,39. Which header file is required for string functions?,<string.h>,<strings.h>,<stdlib.h>,<stdio.h>,A
C,40. What is the value of x after: int x = 3; x += 5;,8,5,3,15,A
C,41. Which of the following is not a valid data type in C?,long,unsigned,real,float,C
C,42. What is the default return type of a function in C if not specified?,int,void,float,char,A
C,43. Which of these is used to return a value from a function?,return,break,goto,continue,A
C,44. Which allows you to create an alias for a data type?,typedef,def,alias,typecast,A
C,45. Which format specifier is used to print a string?,%c,%d,%f,%s,D
C,46. Which operator is used for bitwise OR?,&&,|,||,&,B
C,47. Which statement is true about arrays in C?,Arrays are of fixed size,Arrays can grow at runtime,Arrays are pointers,Arrays have dynamic size,A
C,"48. What will be the output of: printf(""%d"", 2<<2);",8,4,16,6,B
C,49. Which header is required for pow() function?,<math.h>,<stdio.h>,<stdlib.h>,<string.h>,A
C,50. What is the base address of an array?,Address of first element,Address of last element,Size of array,None,A
C,"51. What will printf(""%d"", sizeof(float)); output on a 32-bit system?",4,8,2,6,A
C,52. What does the continue statement do in a loop?,Skips current iteration,Exits loop,Restarts loop,Ends program,A
C,53. Which operator is used for logical OR?,&&,|,||,^,C
C,54. Which of the following is a preprocessor directive?,#include,#import,#package,#define,A
C,55. How do you declare a static variable in C?,static int x;,int static x;,x static int;,int x static;,A
C,56. What does the keyword 'void' indicate for a function?,No return value,Function won't run,Returns 0,Static function,A
C,57. Which function is used to read formatted input from the user?,scanf(),printf(),gets(),putchar(),A
C,58. Which format specifier is used for unsigned integers?,%u,%d,%i,%f,A
C,59. Which of the following is not a relational operator?,==,!=,<=,:=,D
C,60. Which function is used to close a file?,fclose(),close(),endfile(),fin(),A
C,61. Which function is used to print on the console?,printf(),scanf(),display(),print(),A
C,62. Which of the following is a valid declaration of a pointer?,int *ptr;,int ptr*;,ptr int*;,int * ptr;,A
C,63. What is the default value of an uninitialized local variable in C?,Garbage value,0,-1,NULL,A
C,64. Which function is used to compare two strings?,strcmp(),strcomp(),strcompare(),stringcmp(),A
C,65. The keyword 'break' is used with:,switch and loops,if and else,functions,arrays only,A
C,"66. What will be the output: printf(""%c"", 'A'+2);",C,B,A,Z,A
C,67. Which of the following cannot be checked in a switch-case statement?,float,int,char,enum,A
C,68. What does 'NULL' indicate?,No value assigned,0,-1,Overflow,A
C,69. The loop that runs at least once even if the condition is false is:,do-while,while,for,None,A
C,70. Function without any return type returns:,No value,0,Null,Garbage,A
C,71. What is the keyword for unconditional jump?,goto,break,return,continue,A
C,72. Which function is used for dynamic memory de-allocation?,free(),delete(),dispose(),realloc(),A
C,73. Which of the following is used for multiple-choice selection?,switch,if-else,while,goto,A
C,74. Which function finds the remainder?,%,/,*,^,A
C,75. Which of the following is a valid C identifier?,_temp,7temp,temp-7,temp 7,A
C,76. Which header file defines size_t?,<stddef.h>,<stdio.h>,<stdlib.h>,<ctype.h>,A
C,"77. What will be the output: printf(""%d"", 'A'+1);",66,65,A,B,A
C,78. Which of these is not an assignment operator?,=,+=,-=,!,D
C,79. What is the size of double on a 32-bit system?,8,4,2,16,A
C,80. Which function is used to convert string to integer?,atoi(),itoa(),strint(),toint(),A
C,81. Which directive is used for conditional compilation?,#ifdef,#ifelse,#then,if(),A
C,82. Which of the following is the correct way to end a statement?,;,::,.,",",A
C,83. Which of the following can be used to terminate the main() function?,return 0;,exit(),break;,quit;,A
C,84. A function which calls itself is called:,Recursive,Inline,Friend,Virtual,A
C,85. Which is the correct way to declare a 2-D array with 3 rows and 4 columns?,int arr;,int arr;,"int arr(3,4);",int arr[];,A
C,86. Which of the following is a string literal?,Hello,'H',Hello,H,A
C,87. What is passed by reference?,Address of variable,Value of variable,Function variable,Array only,A
C,88. Which function is used to concatenate two strings?,strcat(),strcpy(),stradd(),concat(),A
C,89. What is the function of fflush(stdin)?,Clear input buffer,Print input,Read input,Flush output stream,A
C,90. Which keyword can be used to prevent a variable from being changed?,const,static,final,volatile,A
C,"91. What will be the output of printf(""%d %d"", sizeof('A'), sizeof(""A""));",4 2,1 2,4 3,1 3,A
C,92. Which among the following is not a loop control statement in C?,repeat,continue,break,goto,A
C,93. Which function is used to write formatted output to a file?,fprintf(),fprint(),fwrite(),writef(),A
C,94. Declaration of pointer to function is:,return_type (*pointer_name)(parameters);,(*pointer_name) return_type(parameters);,pointer_type (*function_name);,pointer function(parameters);,A
C,95. How are string constants represented in C?,Enclosed in double quotes,Enclosed in single quotes,By a # prefix,Using curly brackets,A
C,96. How to declare a function that does not take any argument?,void func(void);,void func();,func(void);,Void func(void),A
C,97. Which format specifier is used for hexadecimal?,%x,%d,%c,%s,A
C,98. Which of them is an invalid pointer assignment?,int *p = NULL;,int *p = 0;,int *p;,int *p = 1000;,D
